Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Angle(rad),Data Set 1:Velocity(rad/s),Data Set 1:Acceleration(rad/s²),Data Set 2:Time(s),Data Set 2:Force(N),Data Set 2:Angle(rad),Data Set 2:Velocity(rad/s),Data Set 2:Acceleration(rad/s²),Data Set 3:Time(s),Data Set 3:Force(N),Data Set 3:Angle(rad),Data Set 3:Velocity(rad/s),Data Set 3:Acceleration(rad/s²),Data Set 4:Time(s),Data Set 4:Force(N),Data Set 4:Angle(rad),Data Set 4:Velocity(rad/s),Data Set 4:Acceleration(rad/s²),Data Set 5:Time(s),Data Set 5:Force(N),Data Set 5:Angle(rad),Data Set 5:Velocity(rad/s),Data Set 5:Acceleration(rad/s²),Data Set 6:Time(s),Data Set 6:Force(N),Data Set 6:Angle(rad),Data Set 6:Velocity(rad/s),Data Set 6:Acceleration(rad/s²),Data Set 7:Time(s),Data Set 7:Force(N),Data Set 7:Angle(rad),Data Set 7:Velocity(rad/s),Data Set 7:Acceleration(rad/s²),Data Set 8:Time(s),Data Set 8:Force(N),Data Set 8:Angle(rad),Data Set 8:Velocity(rad/s),Data Set 8:Acceleration(rad/s²),Data Set 9:Time(s),Data Set 9:Force(N),Data Set 9:Angle(rad),Data Set 9:Velocity(rad/s),Data Set 9:Acceleration(rad/s²),Data Set 10:Time(s),Data Set 10:Force(N),Data Set 10:Angle(rad),Data Set 10:Velocity(rad/s),Data Set 10:Acceleration(rad/s²),Data Set 11:Time(s),Data Set 11:Force(N),Data Set 11:Angle(rad),Data Set 11:Velocity(rad/s),Data Set 11:Acceleration(rad/s²),Data Set 12:Time(s),Data Set 12:Force(N),Data Set 12:Angle(rad),Data Set 12:Velocity(rad/s),Data Set 12:Acceleration(rad/s²),Data Set 13:Time(s),Data Set 13:Force(N),Data Set 13:Angle(rad),Data Set 13:Velocity(rad/s),Data Set 13:Acceleration(rad/s²)
0,0.096699973015347496,,,,0,0.096699973015347496,,,,0,0.10316941037308425,,,,0,0.1092582925921306,,,,0,0.11534717481117696,,,,0,0.1092582925921306,,,,0,0.16519989797961898,,,,0,0.096699973015347496,,,,0,0.1092582925921306,,,,0,0.059405569423688576,,,,0,0.047227804985595867,,,,0,0.096699973015347496,,,,0,0.040758367627859116,,,
0.02,0.090611090796301141,0,0,0,0.02,0.090611090796301141,0,0,0,0.02,0.096699973015347496,0,0,0,0.02,0.096699973015347496,0,0,0,0.02,0.10316941037308425,0,0,0,0.02,0.10316941037308425,0,0,0,0.02,0.15264157840283588,0,0,0,0.02,0.090611090796301141,0,0,0,0.02,0.096699973015347496,0,0,0,0.02,0.053316687204642221,0,0,0,0.02,0.040758367627859116,0,0,0,0.02,0.096699973015347496,0,0,0,0.02,0.040758367627859116,0,0,0
0.040000000000000001,0.090611090796301141,0,0,0,0.040000000000000001,0.090611090796301141,0,0,0,0.040000000000000001,0.096699973015347496,0,0,0,0.040000000000000001,0.096699973015347496,0,0,0,0.040000000000000001,0.096699973015347496,0,0,0,0.040000000000000001,0.1092582925921306,0,0,0,0.040000000000000001,0.15911101576057263,0,0,0,0.040000000000000001,0.084522208577254787,0,0,0,0.040000000000000001,0.090611090796301141,0,0,0,0.040000000000000001,0.047227804985595867,0,0,0,0.040000000000000001,0.040758367627859116,0,0,0,0.040000000000000001,0.096699973015347496,0,0,0,0.040000000000000001,0.034669485408812761,0,0,0
0.059999999999999998,0.090611090796301141,0,0,0,0.059999999999999998,0.084522208577254787,0,0,0,0.059999999999999998,0.096699973015347496,0,0,0,0.059999999999999998,0.096699973015347496,0,0,0,0.059999999999999998,0.10316941037308425,0,0,0,0.059999999999999998,0.1092582925921306,0,0,0,0.059999999999999998,0.15911101576057263,0,0,0,0.059999999999999998,0.090611090796301141,0,0,0,0.059999999999999998,0.096699973015347496,0,0,0,0.059999999999999998,0.047227804985595867,0,0,0,0.059999999999999998,0.040758367627859116,0,0,0,0.059999999999999998,0.096699973015347496,0,0,0,0.059999999999999998,0.028580603189766407,0,0,0
0.080000000000000002,0.090611090796301141,0,0,0,0.080000000000000002,0.090611090796301141,0,0,0,0.080000000000000002,0.096699973015347496,0,0,0,0.080000000000000002,0.096699973015347496,0,0,0,0.080000000000000002,0.096699973015347496,0,0,0,0.080000000000000002,0.10316941037308425,0,0,0,0.080000000000000002,0.15264157840283588,0,0,0,0.080000000000000002,0.090611090796301141,0,0,0,0.080000000000000002,0.096699973015347496,0,0,0,0.080000000000000002,0.040758367627859116,0,0,0,0.080000000000000002,0.040758367627859116,0,0,0,0.080000000000000002,0.10316941037308425,0,0,0,0.080000000000000002,0.034669485408812761,0,0,0
0.10000000000000001,0.090611090796301141,0,0,0,0.10000000000000001,0.090611090796301141,0,0,0,0.10000000000000001,0.096699973015347496,0,0,0,0.10000000000000001,0.096699973015347496,0,0,0,0.10000000000000001,0.10316941037308425,0,0,0,0.10000000000000001,0.10316941037308425,0,0,0,0.10000000000000001,0.15911101576057263,0,0,0,0.10000000000000001,0.084522208577254787,0,0,0,0.10000000000000001,0.096699973015347496,0,0,0,0.10000000000000001,0.047227804985595867,0,0,-0.033667604705388744,0.10000000000000001,0.040758367627859116,0,0,0,0.10000000000000001,0.096699973015347496,0,0,-0.033667604705388744,0.10000000000000001,0.034669485408812761,0,0,0
0.12,0.090611090796301141,0,0,0,0.12,0.096699973015347496,0,0,0,0.12,0.096699973015347496,0,0,0,0.12,0.090611090796301141,0,0,0,0.12,0.096699973015347496,0,0,0,0.12,0.10316941037308425,0,0,0,0.12,0.15911101576057263,0,0,0,0.12,0.090611090796301141,0,0,0,0.12,0.10316941037308425,0,0,0,0.12,0.047227804985595867,0,0,-0.23567323293772122,0.12,0.040758367627859116,0,0,0,0.12,0.096699973015347496,0,0,-0.23567323293772122,0.12,0.040758367627859116,0,0,0
0.14000000000000001,0.096699973015347496,0,0,0,0.14000000000000001,0.090611090796301141,0,0,0,0.14000000000000001,0.096699973015347496,0,0,0,0.14000000000000001,0.096699973015347496,0,0,0,0.14000000000000001,0.096699973015347496,0,0,0,0.14000000000000001,0.1092582925921306,0,0,0,0.14000000000000001,0.15911101576057263,0,0,0,0.14000000000000001,0.090611090796301141,0,0,0,0.14000000000000001,0.10316941037308425,0,0,0,0.14000000000000001,0.047227804985595867,0,0,-1.1446985599832171,0.14000000000000001,0.040758367627859116,0,0,0,0.14000000000000001,0.096699973015347496,0,0,-1.1783661646886059,0.14000000000000001,0.028580603189766407,0,0,0
0.16,0.096699973015347496,0,0,0,0.16,0.090611090796301141,0,0,0,0.16,0.096699973015347496,0,0,0,0.16,0.096699973015347496,0,0,0,0.16,0.096699973015347496,0,0,0,0.16,0.096699973015347496,0,0,0,0.16,0.15911101576057263,0,0,0,0.16,0.084522208577254787,0,0,0,0.16,0.096699973015347496,0,0,0,0.16,0.047227804985595867,0,-0.024240675387879895,-2.9964168187795983,0.16,0.040758367627859116,0,0,0,0.16,0.096699973015347496,0,-0.024240675387879895,-3.1984224470119305,0.16,0.034669485408812761,0,0,0
0.17999999999999999,0.090611090796301141,0,0,0,0.17999999999999999,0.096699973015347496,0,0,0,0.17999999999999999,0.096699973015347496,0,0,0,0.17999999999999999,0.096699973015347496,0,0,0,0.17999999999999999,0.10316941037308425,0,0,0,0.17999999999999999,0.10316941037308425,0,0,0,0.17999999999999999,0.15264157840283588,0,0,0,0.17999999999999999,0.090611090796301141,0,0,0,0.17999999999999999,0.096699973015347496,0,0,0,0.17999999999999999,0.053316687204642221,0,-0.096962701551519578,-5.3868167528621989,0.17999999999999999,0.040758367627859116,0,0,0,0.17999999999999999,0.10316941037308425,0,-0.096962701551519578,-6.262174475202305,0.17999999999999999,0.028580603189766407,0,0,0
