Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Angle(rad),Data Set 1:Velocity(rad/s),Data Set 1:Acceleration(rad/s²),Data Set 2:Time(s),Data Set 2:Force(N),Data Set 2:Angle(rad),Data Set 2:Velocity(rad/s),Data Set 2:Acceleration(rad/s²),Data Set 3:Time(s),Data Set 3:Force(N),Data Set 3:Angle(rad),Data Set 3:Velocity(rad/s),Data Set 3:Acceleration(rad/s²),Data Set 4:Time(s),Data Set 4:Force(N),Data Set 4:Angle(rad),Data Set 4:Velocity(rad/s),Data Set 4:Acceleration(rad/s²),Data Set 5:Time(s),Data Set 5:Force(N),Data Set 5:Angle(rad),Data Set 5:Velocity(rad/s),Data Set 5:Acceleration(rad/s²),Data Set 6:Time(s),Data Set 6:Force(N),Data Set 6:Angle(rad),Data Set 6:Velocity(rad/s),Data Set 6:Acceleration(rad/s²),Data Set 7:Time(s),Data Set 7:Force(N),Data Set 7:Angle(rad),Data Set 7:Velocity(rad/s),Data Set 7:Acceleration(rad/s²),Data Set 8:Time(s),Data Set 8:Force(N),Data Set 8:Angle(rad),Data Set 8:Velocity(rad/s),Data Set 8:Acceleration(rad/s²),Data Set 9:Time(s),Data Set 9:Force(N),Data Set 9:Angle(rad),Data Set 9:Velocity(rad/s),Data Set 9:Acceleration(rad/s²),Data Set 10:Time(s),Data Set 10:Force(N),Data Set 10:Angle(rad),Data Set 10:Velocity(rad/s),Data Set 10:Acceleration(rad/s²)
0,0.090611090796301141,,,,0,0.047227804985595867,,,,0,0.14046381396474317,,,,0,0.17128878019866534,,,,0,-0.0026249181828461587,,,,0,0.1092582925921306,,,,0,-0.046008203993551433,,,,0,0.1092582925921306,,,,0,0.078052771219518036,,,,0,0.053316687204642221,,,
0.02,0.096699973015347496,0,0,0,0.02,0.047227804985595867,0,0,0,0.02,0.14046381396474317,-0.017453286279273523,-0.048481350775759789,-5.1242094361601671,0.02,0.16519989797961898,0,0,0,0.02,-0.021272119978675619,0,0,0,0.02,0.096699973015347496,0,0,0,0.02,-0.058566523570334539,0,0,0,0.02,0.10316941037308425,0,0,0,0.02,0.071963889000471681,0,0,0,0.02,0.047227804985595867,0,0,0
0.040000000000000001,0.096699973015347496,0,0,0,0.040000000000000001,0.047227804985595867,0,0,0,0.040000000000000001,0.14046381396474317,-0.017453286279273523,-0.13332371463333942,-4.9760719754564571,0.040000000000000001,0.16519989797961898,0,0,0,0.040000000000000001,-0.021272119978675619,0,0,0,0.040000000000000001,0.10316941037308425,0,0,0,0.040000000000000001,-0.058566523570334539,0,0,0,0.040000000000000001,0.1092582925921306,0,0,0,0.040000000000000001,0.071963889000471681,0,0,0,0.040000000000000001,0.047227804985595867,0,0,0
0.059999999999999998,0.096699973015347496,0,0,0,0.059999999999999998,0.047227804985595867,0,0,0,0.059999999999999998,0.14046381396474317,-0.017453286279273523,-0.31997691512001458,-2.4341678201996051,0.059999999999999998,0.16519989797961898,0,0,0,0.059999999999999998,-0.015183237759629264,0,0,0,0.059999999999999998,0.096699973015347496,0,0,0,0.059999999999999998,-0.052477641351288185,0,0,0,0.059999999999999998,0.1092582925921306,0,0,0,0.059999999999999998,0.071963889000471681,0,0,0,0.059999999999999998,0.047227804985595867,0,0,0
0.080000000000000002,0.090611090796301141,0,0,0,0.080000000000000002,0.047227804985595867,0,0,0,0.080000000000000002,0.14046381396474317,-0.034906572558547046,-0.31512878004243855,3.3095255425397134,0.080000000000000002,0.16519989797961898,0,0,0,0.080000000000000002,-0.021272119978675619,0,0,0,0.080000000000000002,0.096699973015347496,0,0,0,0.080000000000000002,-0.058566523570334539,0,0,0,0.080000000000000002,0.1092582925921306,0,0,0,0.080000000000000002,0.071963889000471681,0,0,0,0.080000000000000002,0.047227804985595867,0,0,0
0.10000000000000001,0.096699973015347496,0,0,0,0.10000000000000001,0.047227804985595867,0,0,0,0.10000000000000001,0.12790549438796006,-0.034906572558547046,-0.096962701551519551,5.1545102803950167,0.10000000000000001,0.16519989797961898,0,0,0,0.10000000000000001,-0.021272119978675619,0,0,0,0.10000000000000001,0.10316941037308425,0,0,0,0.10000000000000001,-0.058566523570334539,0,0,0,0.10000000000000001,0.1092582925921306,0,0,0,0.10000000000000001,0.071963889000471681,0,0,0,0.10000000000000001,0.047227804985595867,0,0,0
0.12,0.096699973015347496,0,0,0,0.12,0.047227804985595867,0,0,0,0.12,0.14046381396474317,-0.034906572558547046,-0.024240675387879895,2.9694827350152866,0.12,0.15911101576057263,0,0,0,0.12,-0.021272119978675619,0,0,0,0.12,0.10316941037308425,0,0,0,0.12,-0.058566523570334539,0,0,0,0.12,0.10316941037308425,0,0,0,0.12,0.071963889000471681,0,0,0,0.12,0.047227804985595867,0,0,0
0.14000000000000001,0.096699973015347496,0,0,0,0.14000000000000001,0.047227804985595867,0,0,0,0.14000000000000001,0.11534717481117696,-0.034906572558547046,0,1.1446985599832169,0.14000000000000001,0.16519989797961898,0,0,0,0.14000000000000001,-0.021272119978675619,0,0,0,0.14000000000000001,0.10316941037308425,0,0,0,0.14000000000000001,-0.058566523570334539,0,0,0,0.14000000000000001,0.1092582925921306,0,0,0,0.14000000000000001,0.065875006781425327,0,0,0,0.14000000000000001,0.053316687204642221,0,0,0
0.16,0.090611090796301141,0,0,0,0.16,0.047227804985595867,0,0,0,0.16,0.11534717481117696,-0.034906572558547046,0,0.23567323293772113,0.16,0.15911101576057263,0,0,0,0.16,-0.021272119978675619,0,0,0,0.16,0.096699973015347496,0,0,0,0.16,-0.052477641351288185,0,0,0,0.16,0.10316941037308425,0,0,0,0.16,0.071963889000471681,0,0,0,0.16,0.047227804985595867,0,0,0
0.17999999999999999,0.096699973015347496,0,0,0,0.17999999999999999,0.040758367627859116,0,0,0,0.17999999999999999,0.10316941037308425,-0.034906572558547046,0,-4.8186763221577981e-18,0.17999999999999999,0.16519989797961898,0,0,0,0.17999999999999999,-0.021272119978675619,0,0,0,0.17999999999999999,0.096699973015347496,0,0,0,0.17999999999999999,-0.058566523570334539,0,0,0,0.17999999999999999,0.1092582925921306,0,0,0,0.17999999999999999,0.065875006781425327,0,0,0,0.17999999999999999,0.053316687204642221,0,0,0
